Michael Card,Will You Not Listen?
Survivor,I Can't Hold Back
Cold,No One
Gondwana,Mi Princesa
Gorillaz,Latin Simone (Que Pasa Contigo)
Simply Red,Stay
Chromeo,Rage!
There For Tomorrow,Ice Box (Omarion cover)
Seal,Amazing
Counting Crows / Vanessa Carlton,Big Yellow Taxi
Chromatics,Running Up That Hill
Kleenex,When the cat's away
Prince & The Revolution,Kiss (LP Version)
Groundation,Seesaw
Hinder,Heaven Sent
The Dodos,Undeclared
Fuel,Won't Back Down
Amon Amarth,North Sea Storm (Live)
The Fiestas,So Fine
Maroon 5,Not Falling Apart
Greg Laswell,Sweet Dream
NEEDTOBREATHE,Streets Of Gold (Album Version)
London Elektricity,Just One Second (Apex Remix)
Capdown,Act Your Rage
311,Solar Flare
The Bonzo Dog Band,Alley Oop (Girls Version) (2007 Digital Remaster)
Kleerup,Thank You For Nothing
The Strokes,You Only Live Once
Atmosphere,Trying To Find A Balance
Bitter:Sweet,Dirty Laundry (Original)
Martine McCutcheon,Tremble
Osker,Out Of Touch
Disturbed,I'm Alive (Album Version)
Chimaira,No Reason To Live
Blockhead,Insomniac Olympics
The Misfits,Horror Business (Live)
Cocteau Twins,Dear Heart
Secret Garden,Illumination
Billy Talent,Cut The Curtains (Album Version)
Gonzalo Rubalcaba,Closing
Guano Apes,Lords Of The Boards
Juice & Molemen,Same Hood_ Different Day
Copeland,Don't Slow Down
Scars On Broadway,Enemy
By The Tree,Invade My Soul (LP Version)
Tweet,I'm Done (album version)
Elliott Smith,Oh Well_ OK
Curtis Mayfield,Wild And Free (LP Version)
Juelz Santana,Why
Craig's Brother,Set Free
Choking Victim,In My Grave
Caribou,Hannibal
Barry White,What Am I Gonna Do With You
Tanya Donelly,Bum
Jack Johnson / Matt Costa,Lullaby
Make Model,The LSB
Liliput,Boatsong
LCD Soundsystem,You Wanted A Hit
Big Tymers / Tateeze / Boo And Gotti,Oh Yeah!
311,Creatures (For A While)
Sarah Connor / Naturally 7,Music Is The Key
Sun Kil Moon,Floating
Desiderii Marginis,In Harms Way
Geggy Tah,Tucked In
Incubus,Nice To Know You
PAULA COLE,Where Have All The Cowboys Gone? (Album Version)
Louis Smith,Val's Blues (Digitally Remastered)
Metallica,(Anaesthesia) Pulling Teath
B.o.B,Nothin' On You [feat. Bruno Mars] (Album Version)
Sue Foley,Put Your Money Where Your Mouth Is
Kelly Price,I Know Who Holds Tomorrow
Lucero,Veleta (En Vivo Auditorio Nacional)
Diamond Rio,That's What I Get For Loving You
Bloc Party,Your Visits Are Getting Shorter
Paolo Nutini,Coming Up Easy (album)
honeyhoney,Little Toy Gun
Disillusion,Untiefen
Green Day,Give Me Novacaine [feat. Green Day & The Cast Of American Idiot] (Album Version)
Emmure,When Keeping It Real Goes Wrong (Album Version)
be your own PET,Adventure
Guns N' Roses,Sympathy For The Devil
Edie Brickell,Rush Around
LCD Soundsystem,Dance Yrself Clean
Elliott Smith,Needle In The Hay
Melody Gardot,My One And Only Thrill
Tom Waits,Yesterday Is Here
Balkan Beat Box,Adir Adirim (Featuring Victoria Hanna)
Dyango,Esto Es Locura
Phoenix,Congratulations
Gorillaz,Man Research (Clapper)
Crosby_ Stills & Nash,Wooden Ships (LP Version)
Fat Freddy's Drop,Midnight Marauders
Peeping Tom,Getaway (feat. Kool Keith)
Heidi Montag,Look How I'm Doin
Violeta Parra,Que dira el santo padre
Lionel Richie,All Night Long (All Night)
A Skylit Drive,Wires And The Concept Of Breathing
Architecture In Helsinki,Debbie
Ernie K-Doe,Mother In-Law
Thursday,I Am The Killer (Album Version)
Bruce Springsteen,Mrs. McGrath
Beth Orton,Central Reservation
No Doubt,Doormat
Melody Gardot,Over The Rainbow
Bad Company,Ready For Love
Lily Allen,Smile Version Revisited (Mark Ronson Remix) (Explicit)
Ghoti Hook,Love By The Numbers (Banana Man Album Version)
Black Eyed Peas,Shut Up
The Black Keys,Goodbye Babylon
Mayday Parade,Black Cat (Album)
Burt Bacharach,Nikki
Gorillaz,Re-Hash
Paramore,Brick By Boring Brick [Acoustic Version]
The Dead Weather,Hustle And Cuss (Album Version)
Rogue Traders,Voodoo Child
Motörhead,All gone to hell
Guns N' Roses,Patience
Secret Garden,Papillon
Urban Cookie Collective,The Key_ The Secret
Travis Tritt,Drift Off To Dream (Remastered LP Version)
Flairs,Truckers Delight
Saybia,It's Ok Love (LIVE AT ROSKILDE)
Framing Hanley,Hear Me Now (acoustic)
Train,Calling All Angels
Bonnie Raitt,Angel From Montgomery
Tom Waits,No One Knows I'm Gone
The Antlers,On the Roof
The Strokes,Trying Your Luck
Sham 69,If The Kids Are United
Moodorama,Impressions
Devotchka,You Love Me (Album Version)
Kaskade,Step One Two (Laurent Wolf Club Mix)
James Blunt,I Can't Hear The Music (Album Version)
Ben Lee,Catch My Disease
Klaus Doldinger's Passport,Fairy Tale
Tokyo Police Club,Your English Is Good
Ennio Morricone,Le Fotografie
Chris Cagle,Anywhere But Here
Iron Maiden,Only The Good Die Young (1998 Digital Remaster)
Art of Trance,Madagascar (Original 12")
Smash Mouth,Out Of Sight
Aesop Rock,Daylight
Marianne Faithfull,Electra
M83,Coloring The Void
Kaiser Chiefs,Oh My God
The Get Up Kids,Out Of Reach
The Gaslight Anthem,Old White Lincoln
Demi Lovato,Solo
The Commitments / Andrew Strong,Mustang Sally
Gotan Project,Last Tango In Paris
Inked In Blood,Kiss The Lips Of Your Betrayer
Leonard Cohen,First We Take Manhattan
Blitzen Trapper,God & Suicide
Bad Religion,Better Off Dead
Matt Nathanson,Still
Nelly / Sean P / Pimp C,Cut It Out
Flevans,Hold On
Voodoo & Serano,Blood Is Pumpin' 2005 (Radio Edit)
WILL B,Upgrade
Modeselektor,Hasir
The Concretes,Ooh La La
Hawthorne Heights,Breathing In Sequence (Album Version)
The Black Keys,Just A Little Heat
Sepultura,As It Is
Devin Townsend Band,Sunday afternoon
Moby,Pale Horses
My Dying Bride,The Light At The End Of The World
Soda Stereo,Te Hacen Falta Vitaminas
Cynic,I'm But A Wave To...(2004 remix) (Album Version)
Wolfsheim,Once In A Lifetime
Rufus Wainwright,Es Mus Sein
Demon Hunter,One Thousand Apologies (The Triptych Album Version)
A.A. Bondy,Oh The Vampyre
Flunk,Morning Star
Brother Ali,Fresh Air
Jonny Lang,Angel Of Mercy
The Datsuns,Messin' Around
Hari Mata Hari,Lejla
Albert Hammond Jr.,Everyone Gets A Star
Black Stone Cherry,Blind Man
N.E.R.D.,Rock Star
Foo Fighters,What If I Do?
The Black Keys,Junior's Widow
P.O.D.,Southtown (2006 Remastered LP Version)
SUMO,T.V. Caliente
Gym Class Heroes,Guilty As Charged [feat. Estelle] (Explicit Album Version)
Simple Minds,Oh Jungleland (Live)
Juelz Santana / Cam'Ron,Dipset (Santana's Town)
Sage Francis,Hoofprints In The Sand
Michael Jackson,In The Closet
Lordi,Would You Love A Monsterman
Macy Gray,Oh Yeah
Clipse,Mr. Me Too
A Perfect Circle,Judith (Explicit)
Jem,Come on Closer
Mary Wells,You Beat Me To The Punch
A Skylit Drive,The All Star Diaries
Cobra Starship,The World Has Its Shine [But I Would Drop It On A Dime] (Album Version)
Television,Ain't That Nothin' (Remastered LP Version)
Carpenters,(A Place To) Hide Away
Camera Obscura,The Sweetest Thing
Florence + The Machine,You've Got The Love
Pixies,Broken Face
Octopus Project,Marshall Examines His Carcass
Delirious?,Obsession
Shania Twain,Nah!
Justin Hinds And The Dominoes,Fight Too Much
Michael Bublé,How Sweet It Is (Album Version)
Jewel,Who Will Save Your Soul
Ariane Moffatt,Montréal
Inca Ore,Wedding Day
Chris Isaak,Baby Did A Bad Bad Thing (LP Version)
Suicide Silence,Girls Of Glass
Within Temptation,Stand My Ground (Album Version)
Jay-Z / Beanie Sigel / Scarface,Some How Some Way
O'Donel Levy,Never Can Say Goodbye
Cristina Donà,Goccia
Bloc Party,Flux
Tricky,Christiansands
Muse,Easily
Eddie Santiago,Hasta Aqui Te Fui Fiel
Cake,Where Would I Be?
Burial,Southern Comfort
Lady Sovereign,Pretty Vacant
HAMMERFALL,Heeding The Call
Postal Service,Natural Anthem (Album)
Carpenters,We've Only Just Begun
Robert Palmer,Too Good To Be True
Cute Is What We Aim For,The Fourth Drink Instinct (Album Version)
Bentley Rhythm Ace,Bentley's Gonna Sort You Out
Jennifer Lopez,Jenny From The Block
Cary Brothers,Blue Eyes
Ava Inferi,The Abandoned
Demon Hunter,Lead Us Home
Capdown,The Neverlution
Noir Désir,Le Vent Nous Portera
Within Temptation,Utopia [Feat Chris Jones]
DjaKo,Paris&Demain matin&
Band Of Horses,Marry Song (Album)
Unwritten Law,Fight (Album Version)
Ryan Leslie,You're Fly
Lil Wayne / T-Pain,Got Money
Susumu Hirasawa,The Girl in Byakkoya
Nicholas Gunn,The Sacred Fire
Misfits,Rise Above (Live) (Album Version)
Skillet,Cycle Down (Album Version)
Meg & Dia,Cardigan Weather (Album Version)
Orishas,La Calle
The Presidents of the United States of America,Back Porch
Jimmy Barnes,Respect
Ambrosia,How Much I Feel
Electribe 101,Talking With Myself
Empire Of The Sun,Half Mast
Clannad,Rince Philib A Cheoil
Utah Saints,Something Good
Jonathan Rhys Meyers;Steve Erdody,Elgar / Something Inside
The Car Is On Fire,Manuel
Jack Johnson,Enemy
Weird Al Yankovic,Cavity Search (Paody of "Hold Me_ Thrill Me_ Kiss Me_ Kill Me" by U2)
Deerhunter,Dot Gain
Metallica,One
Bigwig,Sink Or Swim
Chris Cagle,Hey Ya'll
Taking Back Sunday,What's It Feel Like To Be A Ghost? [Live From Bamboozle]
Neri Per Caso,Sarà (Heaven Must Be Missing An Angel)
Cascada,Miracle
Lyte Funkie Ones,Summer Girls
Fischerspooner,In A Modern World
Lansing-Dreiden,Our Next Breath
Luke Bryan,You Make Me Want To
Chromeo,Momma's Boy
Musetta,Peace And Melody
Kid Rock,All Summer Long (Album Version)
Ozzy Osbourne,My Little Man
No Doubt / Bounty Killer,Hey Baby
Nouvelle Vague feat. Martin Gore,Master And Servant
Luis Alberto Spinetta,Alma De Diamante
The Whitest Boy Alive,High On The Heels
The Almost,Call Back When I'm Honest
J. Tillman,Earthly Bodies
Watermelon Slim,Newspaper Reporter
Machine Head,Vim (Album Version)
Sade,Is It A Crime
Beach House,Used To Be
Natalie Imbruglia,Counting Down The Days
Britney Spears,Toxic
Sean Kingston and Justin Bieber,Eenie Meenie
Syd Barrett,Love Song
War Of Ages,My Solitude
Federico Aubele,Pena
Uncle Tupelo,Grindstone
MGMT,Someone's Missing
Amy Winehouse,Addicted
Two Door Cinema Club,Undercover Martyn
NEEDTOBREATHE,You Are Here (Album Version)
Blues Traveler,Carolina Blues
Mayday Parade,Champagne's For Celebrating (I'll Have A Martini) (Album)
Asking Alexandria,The Final Episode (Let's Change The Channel)
Enrique Iglesias,Maybe
Camera Obscura,Pen And Notebook
Modjo,Lady (Hear Me Tonight)
Rhonda Vincent,You're In My Heart
The Starting Line,Saddest Girl Story
Hausmylly,TAVALLINEN TARINA
Röyksopp,Alpha Male
NOFX,I'm Going To Hell For This One
Sean Paul,Pepperpot (Album Version)
Mike Oldfield,Arrival
Jason Mraz,Wordplay (Album Version)
The Presidents of the United States of America,Lump
In Flames,Come Clarity
Capdown,Generation Next
Brian McKnight,Every Time You Go Away
Rammstein,SPRING
Keyshia Cole / Too Short,Didn't I Tell You
Feist,Gatekeeper
Leona Lewis,Forgive Me
Jimmy Eat World,23 (Album Version)
Sophie Milman,My Baby Just Cares For Me
Dion & The Belmonts,I Wonder Why
Devin Townsend Project,Universe In A Ball!
Norman Greenbaum,Spirit In The Sky
Peaches,DownTown
Line Renaud,Bye Bye
Rise Against,Hero Of War
Jamie Cullum,Back To The Ground
John Mayer,Love Song For No One
Ligeia,Wishing Wells
Tree63,No Other
Smash hit combo,Histoire de geek
Foreign Beggars,Blackhole Prophecies (feat. DJ Vadim)
Lamb,Feela
4hero feat. Carina Andersson,Morning Child
The Tams,What Kind Of Fool (Do You Think I Am)
3OH!3,DONTTRUSTME (Explicit Album Version)
Peter Bradley Adams,The Longer I Run
Randy Travis,My Heart Cracked (But It Did Not Break) (Album Version)
The Killers,I Can't Stay
The Black Keys,Shes Long Gone
The Cranberries,Sunday
Enya,Ebudae
Colbie Caillat,Magic
Envy On The Coast,Clean Of You (contains Non-indexed Hidden Track "Just South Of Heaven") (Explicit Album Version)
Cocoon,Tell me
Caribou,Bowls
Loudermilk,Kreates A Presence To Blush
Jennifer Saunders,Fairy Godmother Song
Wayne Watson,Steal Me Away
Michael Franti & Spearhead,What I Be (Alternative)
Cocoa Tea,She Loves Me Now
Wax Tailor,The Tune
Jazzanova,No Use
Trespassers William,Lie In The Sound (Album Version)
Mando Diao,You Can't Steal My Love
Jean Shepard,Tell Me What I Want To Hear
DeBarge,Rhythm Of The Night
Kings Of Leon,Four Kicks
Commodores,Nightshift
Flying Lotus,Intro//A Cosmic Drama
Mae,Suspension
Kaskade,Steppin' Out (Monkey Bars Silver Spoons Mix)
Coldplay,Brothers & Sisters
Josh Groban,When You Say You Love Me (Album Version)
Deepest Blue,Give It Away
Marisa Monte,Abololo
1200 Mics,Magic Mushrooms
Edwyn Collins,You'll Never Know (My Love) (Bovellian 07 Mix)
Robert Palmer,Addicted To Love
The Decemberists,The Bachelor and the Bride
Sam Adams,Driving Me Crazy
Tokyo Police Club,Graves
Junior Boys,In the Morning
Eagles,How Long
Afro-Cuban All Stars,A Toda Cuba Le Gusta (Son)
Finger Eleven,Thousand Mile Wish
Abdoulaye Diabaté,Tabou
Anna Ternheim,What Have I Done
Thursday,Voices On A String (Album Version)
Snow Patrol,It's Beginning To Get To Me
Zox,Anything But Fine
Fenix TX,Katie W.
Beyoncé and Walter Williams_ Sr. (of The O'Jays),He Still Loves Me
Down,On March The Saints (Album Version)
Fall Out Boy,27
Steve Goodman,Old Fashioned
Ozric Tentacles,Eternal Wheel
Foo Fighters,What If I Do?
Jack Johnson,Wrong Turn
Bury Your Dead,The Great Demonizer
Umphrey's McGee,Liquid
Bullet For My Valentine,All These Things I Hate [revolve Around Me] [album Version]
Air,Universal Traveler
Bobbi Humphrey,Chicago_ Damn
Uncle Kracker,Follow Me (Explicit LP Version)
Slipknot,Spit It Out [Explicit]
Tokyo Police Club,In a Cave 
The Maine,If I Only Had The Heart
Franco De Vita,Ay Dios
Charlotte Church,Plaisir d'amour
Skinlab,Down
La Polla Records,Sin Pais
The Hush Sound,Out Through the Curtain (Album Version)
Lucero,My Best Girl
Rancid,Time Bomb (Album Version)
3 Doors Down,Here Without You
Erin McKeown,Queen Of Quiet
Andy Starr,Rockin' Rollin' Stone
Deftones,Mascara (LP Version)
Keyshia Cole,We Could Be
Primus,DMV
Enya,Bard Dance
Melody Gardot,All That I Need Is Love
Ozzy Osbourne,Over The Mountain
Pale Saints,You Tear The World In Two
Darryl Worley,I Just Came Back From a War
isis,From Sinking
Toots & The Maytals,Having A Party
Ray Charles,Now She's Gone
Katy Perry,Hot N Cold (Manhattan Clique Remix Radio Edit)
Evergrey,Madness caught another victim
Cloud Cult,Everybody here is a Cloud
Miranda Lambert,There's A Wall
JET,Stand Up (Digital Album Version)
Bethany Dillon,The Kingdom (Medium Key-Premiere Performance Plus w/o Background Vocals)
Hybrid,Keep It In The Family
Simply Red,Model
Kanye West,Coldest Winter
John Brown's Body,Heart and Soul
Bouncing Souls,Sing Along Forever
Parkway Drive,Moments In Oblivion
Jeff Foxworthy,Seeing Things On The Road
Rehab,Bartender Song (Sittin' At A Bar)
Magic Affair,Carry On
The Walkmen,Mucho Mungo/Mt. Elga (Album Version)
Natiruts,Discipulo De Mestre Bimba
DAVE MATTHEWS BAND,One Sweet World
Bertrand Betsch,La Revanche Du Manchot
Drake / Lil Wayne / Young Jeezy,I'm Goin In
Amel Larrieux,if i loved you
Destiny's Child,Survivor
Aimee Mann,This is How It Goes
Laurel Canyon Ramblers,Flatland Ramble
Moodorama,Weird love
Leigh Nash,Charmed Life
Downhere,What Child Is This
Nonpoint,Done It Anyway (Album Version/edited)
Dispatch,Two Coins
Fefe Dobson,Don't Go (Girls and Boys)
Vetiver,Another Reason To Go
Peter Cetera,The Last Place God Made (Album Version)
Son By 4,Lo Que Yo No Tengo
Miley Cyrus,Let's Dance
Toby Keith,Stays In Mexico
Two Gallants,The Train That Stole My Man
Kinky,Sister Twisted
Daft Punk,Rollin' & Scratchin'
Janie Frickie,He's A Heartache (Looking For A Place To Happen)
Thievery Corporation,Until The Morning
Datarock,True Stories
Burton Cummings,I'm Scared
Silverchair,Pure Massacre
Flamin' Groovies,Slow Death
Aimee Mann,How Am I Different
Florence + The Machine,Rabbit Heart (Raise It Up)
Descendents,When I Get Old
Justin Timberlake,Señorita
Colossal,Brave The Elements
Jens Lekman,A Postcard to Nina
Michael Franks,When The Cookie Jar Is Empty (Remastered Album Version)
Save Ferris,Come On Eileen
Make Do And Mend,Viking Funeral
Eyes Set to Kill,Ryan
The Classic Crime,Abracadavers
Matisyahu,Jerusalem
The Generationals,Nobody Could Change Your Mind
Essential Logic,World Friction
Kingston Trio,Greenback Dollar
Pixie Lott,Turn it Up
Alicia Keys,If I Ain't Got You
Jimi Hendrix,All Along The Watchtower
Hardline,Dr. Love
Bouncing Souls,Blind Date
Silverstein,Last Days Of Summer (Album Version)
Justice,TTHHEE PPAARRTTYY
Jorge Drexler,Don de fluir
Quantic,Sound Of Everything Feat. Alice Russell
The Black Keys,Never Gonna Give You Up
Meat Loaf,Paradise By The Dashboard Light
Ray Lynch,Ivory
Heróis Do Mar,Só Gosto De Ti
Big Kuntry King,Da Baddest [Feat. Trey Songz] (Explicit Album Version)
The Lively Ones,Surf Rider (LP Version)
Rudeboy Records,Mafia Style
Oscar Lopez,Classical Soul (Edit)
Drowning Pool,Reason I'm Alive (Explicit)
Jonny Lang,Missing Your Love
moe.,Spaz Medicine
Sleepy John Estes,Lawyer Clark Blues
Shout Out Louds,The Comeback
Aretha Franklin,Don't Play That Song (You Lied) (LP Version)
AnnaGrace,Let The Feelings Go
Andrew Gold,Thank You for Being a Friend
Nu Shooz,I Cant Wait
The Kooks,Do You Wanna
Social Distortion,Cold Feelings
Rammstein,Seemann
Celldweller,Own Little World
Liquido,Narcotic (Long Version)
Mazzy Star,Before I Sleep
Wilco,Sky Blue Sky
The Veronicas,Someone Wake Me Up (Album Version)
Nick Cave & The Bad Seeds,Breathless (Dusseldorf)
Billy Curringham,Don't
Ziggy Marley And The Melody Makers,This One
Daniel Bedingfield,Wrap My Words Around You
Dark Funeral,The Birth Of The Vampiir
Fort Minor (Featuring John Legend),High Road (Album Version)
The Kinks,Autumn Almanac
Escape The Fate,10 Miles Wide
Melody Gardot,Twilight
Eazy-E,Eazy-Er Said Than Dunn
Interpol,Not Even Jail
Ordo Rosarius Equilibrio,Beloved Kitty and the Piercing Bolts of Amor
Immortal Technique,Freedom of Speech
The Grass Roots,Walking Through The Country
Julio Iglesias duet with Willie Nelson,To All The Girls I've Loved Before (With Julio Iglesias)
Saves The Day,She
Spineshank,Detached (Album Version)
Kleenex,Hitch-hike
Black Label Society,Stillborn (Album Version)
Mike And The Mechanics,Over My Shoulder
Greg Laswell,Days Go On
Cake,Never There
Limp Bizkit,Indigo Flow
Jack Johnson,Symbol In My Driveway
Seven Places,Psalm 117
Alejandro Fernandez,Noche De Ronda
Abdoulaye Diabaté,Nina
The Griswolds,Sad Sad Day
The Airborne Toxic Event,This Is Nowhere
Rokker Zsolti,Bulizás
Big Star,When My Baby's Beside Me
Lukestar,Peregrin
Skunk Anansie,Pickin On Me
Rebecka Törnqvist,Do You Mind
Skye Sweetnam,Split Personality
Little Joy,The Next Time Around
Fatboy Slim,Put It Back Together
Asking Alexandria,If You Cant Ride Two Horses At Once&You Should Get Out Of The Circus (feat. NO)
Kent,Vals för satan (din vän pessimisten)
The Unseen,Coincidence or Consequence
Just Jack,Starz In Their Eyes
Guns N' Roses,Used To Love Her
Jona Lewie,Stop The Cavalry
Aly,Rosaires
Amy Winehouse,What Is It About Men
Dido,I'm No Angel
The Ruby Suns,Sleep In The Garden
Crosby_ Stills_ Nash and Young,Our House
Mike And The Mechanics,A Time And Place
Bloc Party,Signs
Local Natives,Who Knows Who Cares
Descendents,Coffee Mug
Charlie Brown Jr.,Ninguem Entende Voce
Mint Condition,Nothing Left To Say
Spook And The Guay,El Siglo De Oro Del Asesino
Stephen Lynch,D & D
The Bloody Beetroots / The Cool Kids,Awesome
Camera Obscura,Alaska
Gallows,Crucifucks (Album Version)
A Day To Remember,I Heard It's The Softest Thing Ever (Album Version)
Emancipator,Greenland
Groundation,Upon The Bridge
Ricardo Montaner,Para Un Poco
Coldplay,42
Bruce BecVar,Somewhere In Time
Lincoln Brewster,Take Me Higher
Public Image Ltd,Where Are You?
Otis Taylor,3 Days and 3 Nights
Erykah Badu,Back In The Day
Thao with The Get Down Stay Down,Geography
Kate Ryan,Libertine Radio Edit
Don McLean,Vincent
John Mayer,Half Of My Heart
Coldplay,I Ran Away
Saga,The Flyer
Fat Freddy's Drop,Cay's Crays
Pirats Sound Sistema,Bombes
Camera Obscura,French Navy
Madball,Behind These Walls
Bruce Springsteen,I'm On Fire
Juelz Santana / Young Jeezy / Lil Wayne,Make It Work For You
Marilyn Manson,Personal Jesus
Fergie / Will.I.Am,Fergalicious
Manchester Orchestra,Golden Ticket
The Dear Hunter,Black Sandy Beaches
Marcus Miller,Pluck (Interlude)
Beastie Boys,Unite (2009 Digital Remaster)
Florence & The Machine,Halo
Tycho,The Daydream
Creedence Clearwater Revival,Commotion
Blind Melon,Tones Of Home
Kenny G featuring David Benoit,Don't Know Why
Christopher O'Riley,paranoid android
Tokio Hotel,Monsoon
Apocalyptica featuring Corey Taylor,I'm Not Jesus
The Exies,These Are The Days
Bear In Heaven,Bag of Bags
Jonny Lang,Rack 'Em Up
Gipsy Kings,Caminando Por La Calle
Massimo Volume,Meglio Di Uno Specchio
Anti-Pop Consortium,SHINE
Cocoon,Cliffhanger
Alice In Chains,Sludge Factory
Justice,Newjack
23 Skidoo,Crossfire
Weezer,We Are All On Drugs
Interpol,The Scale
Aphex Twin,Delphium
This Providence,Patience
Noumena,Marionettes
Auburn,Swagga
Silversun Pickups,Kissing Families (Album Version)
Jonny Lang,Good Morning Little School Girl
Eli Young Band,Radio Waves
Interpol,Slow Hands
Jeremy Camp,Give Me Jesus
Beth Orton,Thinking About Tomorrow
Band Of Horses,The Funeral (Album Version)
Skillet,Say Goodbye (Album Version)
Heaven 17,Let Me Go
Weezer,Buddy Holly
Commit Suicide,When Nothing Exists
The Trews,I Can't Stop Laughing
Tankard,The Morning After
Turbo Fruits,Know Too Much
Y&T,Black Gold
Brother Cane,Stone's Throw Away
Social Distortion,When She Begins
Shep & The Limelites,Daddy's Home (Single Version)
Architecture In Helsinki,It' 5
The Impressions,For Your Precious Love
Peter Bjorn And John,Objects Of My Affection
Hot Chip,One Life Stand
Showaddywaddy,Christmas Tears Will Fall
The Pussycat Dolls,In Person
Senses Fail,Lungs Like Gallows
Enya,Only Time (Original Version)
Mariah Carey,Don't Forget About Us
DAVE MATTHEWS BAND,Jimi Thing
DJ Aligator Project,Lollipop
Maroon 5,Infatuation
Queensryche,Revolution Calling
The Crystal Method,Starting Over
Wall Of Voodoo,Call Of The West
She & Him,I Was Made For You
Benjamin Biolay,Le Grand Retour De La Chance
Trio Irakitan,Sonhando Contigo
Hoobastank,Give It Back
Ashley Tisdale,Don't Touch [The Zoom Song] (Album Version)
João Gilberto,Voce Vai Ver
Basshunter,In Her Eyes
The Black Keys,I Got Mine
Enya,The First Of Autumn
Roxy Music,More Than This
Portugal. The Man,Everyone is Golden
Regina Spektor,On The Radio (Album Version)
Madonna,Devil Wouldn't Recognize You (Album Version)
Apocalyptica,Refuse / Resist
Aleks Y La Gente Normal Syntek,Unos Quieren Subir
blessthefall,Times Like These (Album Version)
The Decemberists,The Hazards Of Love 4 (The Drowned)
zero dB,Sunshine Lazy
Aretha Franklin,Hello Sunshine
