file,artist,album,track,genres,selected_for
146905.mp3,Tri-Tachyon,The Warbird EP,The Warbird,['Classical'; 'Soundtrack'; 'Composed Music'; 'Symphony'; 'Contemporary Classical'],Symphony
148172.mp3,Bounar & the bounettes,Merry Christmas,crossing et intro,['Pop'; 'Symphony'; 'Christmas'],Symphony
148173.mp3,Bounar & the bounettes,Merry Christmas,christmastime,['Pop'; 'Symphony'; 'Christmas'],Symphony
148174.mp3,Bounar & the bounettes,Merry Christmas,my little cherry,['Pop'; 'Symphony'; 'Christmas'],Symphony
148175.mp3,Bounar,Merry Christmas,ecchymosis,['Pop'; 'Symphony'; 'Christmas'],Symphony
148176.mp3,Bounar,Merry Christmas,my heart is,['Pop'; 'Symphony'; 'Christmas'],Symphony
148177.mp3,Bounar,Merry Christmas,rain,['Pop'; 'Symphony'; 'Christmas'],Symphony
010421.mp3,Maria Alice,,O Louco,['International'; 'Old-Time / Historic'; 'Fado'],Fado
070854.mp3,Alexandre Bateiras,Canções da Lua Nova,Porto Largo,['International'; 'Folk'; 'Fado'],Fado
070855.mp3,Alexandre Bateiras,Canções da Lua Nova,Canção de Alvito,['International'; 'Folk'; 'Fado'],Fado
070856.mp3,Alexandre Bateiras,Canções da Lua Nova,"Cante" do Monte do Galaz,['International'; 'Folk'; 'Fado'],Fado
070857.mp3,Alexandre Bateiras,Canções da Lua Nova,Dança das Estevas,['International'; 'Folk'; 'Fado'],Fado
070858.mp3,Alexandre Bateiras,Canções da Lua Nova,Bolorina,['International'; 'Folk'; 'Fado'],Fado
070859.mp3,Alexandre Bateiras,Canções da Lua Nova,Moinho da Azinheira,['International'; 'Folk'; 'Fado'],Fado
070860.mp3,Alexandre Bateiras,Canções da Lua Nova,Canção da Ribeira,['International'; 'Folk'; 'Fado'],Fado
070861.mp3,Alexandre Bateiras,Canções da Lua Nova,Variações Sobre um tema Melancólico,['International'; 'Folk'; 'Fado'],Fado
070862.mp3,Alexandre Bateiras,Canções da Lua Nova,Tributo,['International'; 'Folk'; 'Fado'],Fado
070863.mp3,Alexandre Bateiras,Canções da Lua Nova,O Regresso,['International'; 'Folk'; 'Fado'],Fado
070864.mp3,Alexandre Bateiras,Canções da Lua Nova,Valsa em Fá# Menor,['International'; 'Folk'; 'Fado'],Fado
070865.mp3,Alexandre Bateiras,Canções da Lua Nova,Final,['International'; 'Folk'; 'Fado'],Fado
106324.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,Rio-me porque és da aldeia e vieste de burro ao baile,['Electronic'; 'Sound Collage'; 'Fado'],Fado
106325.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,Amigo é aquele que te diz que tens um macaco no nariz,['Electronic'; 'Sound Collage'; 'Fado'],Fado
106326.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,Ai Maria; é tanto o teu drama que já nem vou contigo à missa,['Electronic'; 'Sound Collage'; 'Fado'],Fado
106327.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,Usa para mim aquela cueca com renda de bilro,['Electronic'; 'Sound Collage'; 'Fado'],Fado
106328.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,A Cantiga Selvagem que te canto enquanto faço poses sensuais na minha motorizada,['Electronic'; 'Sound Collage'; 'Fado'],Fado
106329.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,Nunca mais me rapo para ti,['Electronic'; 'Sound Collage'; 'Fado'],Fado
106330.mp3,Stealing Orchestra & Rafael Dionísio,& Rafael Dionísio - Uma Desgraça Nunca Vem Só,A tua choradeira é meio salário em lenços,['Electronic'; 'Sound Collage'; 'Fado'],Fado
008458.mp3,PartMan PartHorse,PartMan PartHorse - Live @ KEXP 10/25/08,Catfight (Live @ KEXP),['Rock'; 'Talk Radio'],Talk Radio
016930.mp3,Liminal Spaces,Liminal Spaces,Open Session,['Middle East'; 'Talk Radio'],Talk Radio
047843.mp3,Music Manumit Podcast,Music Manumit Podcast Talk Shows,MAMA - 110515,['Talk Radio'],Talk Radio
063780.mp3,Chain & The Gang,Live at WFMU on the Cherry Blossom Clinic with Terre T on April 14; 2012,Chat With Terre T,['Talk Radio'],Talk Radio
063806.mp3,Lushlife,Live at WFMU on Put the Needle on The Record with Billy Jam on April 13; 2012,Chatting with Billy Jam,['Talk Radio'],Talk Radio
127734.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Powder,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127735.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,The Curse Of The Albatross,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127736.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Fracking,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127737.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Mutually Assured Destruction,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127738.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Jammed,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127739.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Filling The Internet With Poetry,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127740.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Grandola Vila Morena,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127741.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Class 2,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127742.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,No Laughing Matter,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127743.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Operating Theatre,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127744.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Triple Dip,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127745.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Homeless,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127746.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Falkirk,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127747.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Hot Air,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
127748.mp3,Andrew Walton,Beware! Vision Vol 3: Andrew Walton 20/10/13,Honey Who Killed The Bees?,['Poetry'; 'Talk Radio'; 'Spoken Word'],Talk Radio
024842.mp3,Quartet San Francisco,Live on Irene Trudel's show on WFMU 1/11/10,Tango Toscana,['Tango'],Tango
061461.mp3,Tres Tristes Tangos,,D'Bronx Tanz,['Klezmer'; 'Tango'],Tango
061462.mp3,Tres Tristes Tangos,,Een Laastse Liedje,['Klezmer'; 'Tango'],Tango
061464.mp3,Tres Tristes Tangos,,Kolomeika,['Klezmer'; 'Tango'],Tango
061465.mp3,Tres Tristes Tangos,,Ojos Negros,['Klezmer'; 'Tango'],Tango
061467.mp3,Tres Tristes Tangos,,Planta Baja,['Klezmer'; 'Tango'],Tango
061506.mp3,Tres Tristes Tangos,,Kölderen Polka,['Klezmer'; 'Tango'],Tango
108156.mp3,Maria Pien,La Vuelta Manzana,Río Rivadavia,['Folk'; 'Spanish'; 'Tango'],Tango
108157.mp3,Maria Pien,La Vuelta Manzana,Autoayuda,['Folk'; 'Spanish'; 'Tango'],Tango
108158.mp3,Maria Pien,La Vuelta Manzana,Spring inside,['Folk'; 'Spanish'; 'Tango'],Tango
108159.mp3,Maria Pien,La Vuelta Manzana,Nocturno #2,['Folk'; 'Spanish'; 'Tango'],Tango
108160.mp3,Maria Pien,La Vuelta Manzana,Aloe,['Folk'; 'Spanish'; 'Tango'],Tango
108161.mp3,Maria Pien,La Vuelta Manzana,Pasará,['Folk'; 'Spanish'; 'Tango'],Tango
108162.mp3,Maria Pien,La Vuelta Manzana,Fantasía en G para un pueblo al sur del mapa,['Folk'; 'Spanish'; 'Tango'],Tango
108163.mp3,Maria Pien,La Vuelta Manzana,Trovadora del Viento,['Folk'; 'Spanish'; 'Tango'],Tango
108164.mp3,Maria Pien,La Vuelta Manzana,Por mí; que llueva,['Folk'; 'Spanish'; 'Tango'],Tango
108165.mp3,Maria Pien,La Vuelta Manzana,Hace frío (en NYC),['Folk'; 'Spanish'; 'Tango'],Tango
108166.mp3,Maria Pien,La Vuelta Manzana,Verde,['Folk'; 'Spanish'; 'Tango'],Tango
108167.mp3,Maria Pien,La Vuelta Manzana,Fruto prohibido,['Folk'; 'Spanish'; 'Tango'],Tango
113696.mp3,La Tabù,Live,Immigrantes #1,['Tango'],Tango
082294.mp3,Jonas,Pindarotsjes,Duivekl,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082295.mp3,Jonas,Pindarotsjes,Rico,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082296.mp3,Jonas,Pindarotsjes,Afferden beat,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082297.mp3,Jonas,Pindarotsjes,Dennis beat,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082298.mp3,Jonas,Pindarotsjes,braggadocious,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082299.mp3,Jonas,Pindarotsjes,Vrij,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082300.mp3,Jonas,Pindarotsjes,loopzoalshethoort,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082301.mp3,Jonas,Pindarotsjes,haperr,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082302.mp3,Jonas,Pindarotsjes,you set me up,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082303.mp3,Jonas,Pindarotsjes,loop,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082304.mp3,Jonas,Pindarotsjes,Lodisa,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082305.mp3,Jonas,Pindarotsjes,Deest beat,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082306.mp3,Jonas,Pindarotsjes,Marvita,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082307.mp3,Jonas,Pindarotsjes,Winssen beat,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082308.mp3,Jonas,Pindarotsjes,Chao,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082309.mp3,Jonas,Pindarotsjes,Gimme a lighta,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082310.mp3,Jonas,Pindarotsjes,bnik,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082311.mp3,Jonas,Pindarotsjes,Schelter,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
082312.mp3,Jonas,Pindarotsjes,Andreas + DSP,['Electronic'; 'hiphop'; 'Instrumental'],hiphop
111934.mp3,Ebsa,HeartworK,A Thing or Two,['Hip-Hop'; 'Rap'; 'hiphop'],hiphop
029029.mp3,The Books,sonic doodads from Book Odds; the 2010 Third Coast ShortDocs challenge,clarinet clock loop,['Sound Effects'; 'Sound Collage'],Sound Effects
029030.mp3,The Books,sonic doodads from Book Odds; the 2010 Third Coast ShortDocs challenge,eros vibraphone,['Sound Effects'; 'Sound Collage'],Sound Effects
029031.mp3,The Books,sonic doodads from Book Odds; the 2010 Third Coast ShortDocs challenge,note manual,['Sound Effects'; 'Sound Collage'],Sound Effects
029032.mp3,The Books,sonic doodads from Book Odds; the 2010 Third Coast ShortDocs challenge,scaledown,['Sound Effects'; 'Sound Collage'],Sound Effects
032466.mp3,The Books,Live dublab,A Collage Crystallization (11.23.09),['Sound Effects'; 'Sound Collage'],Sound Effects
036620.mp3,Romeo Knight,Seed64,Bionic Commando (Tune 5),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036621.mp3,Bladiator,Seed64,Suicide express for 2 Pianos,['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036622.mp3,N-Joy,Seed64,Led Storm Funky Edit,['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036623.mp3,Noviello Pippo,Seed64,Comic Bakery (Jazz mix),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036624.mp3,Andrea Baroni,Seed64,Erebus (piano),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036625.mp3,Moonove,Seed64,Delta,['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036626.mp3,NecroPolo,Seed64,Bionic Commando stage 4 (Dale vs Wray mix),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036627.mp3,Doron Deutsch,Seed64,Out Run (magical acoustic shower),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036628.mp3,Christian Vestergaard,Seed64,The Last V8 (Piano cover),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036629.mp3,Mahoney,Seed64,Black Lamp subtune 1 (codename whistler),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036630.mp3,Linus Akesson,Seed64,One Man And His Piano,['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036631.mp3,Rune-Bertil's,Seed64,Pandora's Ficka,['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036632.mp3,Mutherpluckin' B,Seed64,Sanxion (Unsanxioned Soloing),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036633.mp3,Gustav Taxén,Seed64,Wizball,['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
036634.mp3,Tim Winsky,Seed64,Bandle Bobble (Bubble Bobble Live by Hampshire Regional High School),['Sound Effects'; 'Ambient Electronic'; 'Sound Poetry'; 'Synth Pop'; 'Rock Opera'],Sound Effects
007832.mp3,Cheika Djerba,,Rah Alia Rah,['International'; 'Old-Time / Historic'; 'North African'],North African
010425.mp3,Chikha Aicha El Hertitia,,Âaita Baidaouiya,['International'; 'Old-Time / Historic'; 'North African'],North African
010512.mp3,Raoul Journo,,El-Ouache-Ouel-Ghorba,['International'; 'Old-Time / Historic'; 'North African'],North African
013081.mp3,Lili Labassi,,Mazal Haye Mazal,['International'; 'Old-Time / Historic'; 'North African'],North African
013537.mp3,Abdoulaye Alhassane Touré,Live With Banning Eyre at WFMU on Transpacific Sound Paradise 5/19/09,Maru Kiray,['North African'],North African
013538.mp3,Abdoulaye Alhassane Touré,Live With Banning Eyre at WFMU on Transpacific Sound Paradise 5/19/09,Kurbu,['North African'],North African
013539.mp3,Abdoulaye Alhassane Touré,Live With Banning Eyre at WFMU on Transpacific Sound Paradise 5/19/09,Waina Bibiyo,['North African'],North African
013540.mp3,Abdoulaye Alhassane Touré,Live With Banning Eyre at WFMU on Transpacific Sound Paradise 5/19/09,Tamala,['North African'],North African
014601.mp3,Brahim Fribgane,Live at WFMU's Transpacific Sound Paradise; 6/6/2009,(interview),['North African'],North African
014602.mp3,Brahim Fribgane,Live at WFMU's Transpacific Sound Paradise; 6/6/2009,Amazigh,['North African'],North African
014603.mp3,Brahim Fribgane,Live at WFMU's Transpacific Sound Paradise; 6/6/2009,Sidi Rabi,['North African'],North African
014604.mp3,Brahim Fribgane,Live at WFMU's Transpacific Sound Paradise; 6/6/2009,Live Improv,['North African'],North African
060037.mp3,Lessazo,Soleil d'hiver,Modibo chante à la maison,['North African'],North African
060038.mp3,Lessazo,Soleil d'hiver,Tié ba té djigui,['North African'],North African
060039.mp3,Lessazo,Soleil d'hiver,Lendemain au café,['North African'],North African
060040.mp3,Lessazo,Soleil d'hiver,Memoire (Hommage à T. Sankara),['North African'],North African
060041.mp3,Lessazo,Soleil d'hiver,Moussa,['North African'],North African
060042.mp3,Lessazo,Soleil d'hiver,Intro Tie ba té,['North African'],North African
060043.mp3,Lessazo,Soleil d'hiver,Une Alchimie secrète,['North African'],North African
060044.mp3,Lessazo,Soleil d'hiver,Doute,['North African'],North African
021201.mp3,Misty Roses,Live on Irene Trudel's show on WFMU 10/26/2009,Starry Wisdom,['Experimental Pop'; 'Easy Listening: Vocal'],Easy Listening: Vocal
021202.mp3,Misty Roses,Live on Irene Trudel's show on WFMU 10/26/2009,Dreaming of Delphine,['Experimental Pop'; 'Easy Listening: Vocal'],Easy Listening: Vocal
021203.mp3,Misty Roses,Live on Irene Trudel's show on WFMU 10/26/2009,Nicht Plus Ultra,['Experimental Pop'; 'Easy Listening: Vocal'],Easy Listening: Vocal
021204.mp3,Misty Roses,Live on Irene Trudel's show on WFMU 10/26/2009,Mario and Dario,['Experimental Pop'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024703.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Shto mi e Milo,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024704.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Nye Po Pogrebu Bochonochek Kataejtse,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024705.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Kval Shiri,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024706.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Kval Erghen Deda,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024707.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Okromchedelo,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024708.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Svatba,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024709.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Dilmano Dilbero,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024710.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Dragana I Slaveya,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
024711.mp3,Yale Women's Slavic Chorus,Live at the 2010 Golden Festival,Prekvrukhna Ptichka,['Balkan'; 'Europe'; 'Easy Listening: Vocal'],Easy Listening: Vocal
044808.mp3,Monk Turner + Fascinoma,Emergency Songs,Trust (is Just a Word),['Pop'; 'Easy Listening: Vocal'],Easy Listening: Vocal
044812.mp3,Monk Turner + Fascinoma,Emergency Songs,Lover Won't You Hold Me,['Pop'; 'Singer-Songwriter'; 'Easy Listening: Vocal'],Easy Listening: Vocal
044816.mp3,Monk Turner + Fascinoma,Emergency Songs,O Say Can You See the Future,['Pop'; 'Soul-RnB'; 'Easy Listening: Vocal'],Easy Listening: Vocal
056843.mp3,Misty Roses,Live at WFMU on Irene Trudel's Show November 28; 2011,Echo's Answers,['Singer-Songwriter'; 'Easy Listening: Vocal'],Easy Listening: Vocal
056844.mp3,Misty Roses,Live at WFMU on Irene Trudel's Show November 28; 2011,Address Book,['Singer-Songwriter'; 'Easy Listening: Vocal'],Easy Listening: Vocal
056845.mp3,Misty Roses,Live at WFMU on Irene Trudel's Show November 28; 2011,Puce Woman (For Kenneth Anger),['Singer-Songwriter'; 'Easy Listening: Vocal'],Easy Listening: Vocal
056846.mp3,Misty Roses,Live at WFMU on Irene Trudel's Show November 28; 2011,Gloria Graham,['Singer-Songwriter'; 'Easy Listening: Vocal'],Easy Listening: Vocal
009468.mp3,Peter Walker with Jack Rose,live on dublab 11.19.06,live dublab "sprout session" (11.19.06),['Folk'; 'Flamenco'],Flamenco
027609.mp3,El Niño del Parking,Art Fussion,Baile me por Tangos,['International'; 'Europe'; 'Flamenco'; 'Latin'; 'Spanish'],Flamenco
027610.mp3,El Niño del Parking,Art Fussion,Big Foot (Cuántos Años),['International'; 'Europe'; 'Flamenco'; 'Latin'; 'Spanish'],Flamenco
027611.mp3,El Niño del Parking,Art Fussion,La Juerga en Estado Puro,['International'; 'Europe'; 'Flamenco'; 'Latin'; 'Spanish'],Flamenco
027612.mp3,El Niño del Parking,Art Fussion,Que te Quiero Yo,['International'; 'Europe'; 'Flamenco'; 'Latin'; 'Spanish'],Flamenco
027613.mp3,El Niño del Parking,Art Fussion,Los Dolores de Juana,['International'; 'Europe'; 'Flamenco'; 'Latin'; 'Spanish'],Flamenco
059683.mp3,Ventanas,Ventanas Live at the Golden Festival Atrium Stage; Jan 14 2012,Kondzha Mia/Bre Sarika,['International'; 'Balkan'; 'Flamenco'],Flamenco
059684.mp3,Ventanas,Ventanas Live at the Golden Festival Atrium Stage; Jan 14 2012,La Komida,['International'; 'Balkan'; 'Flamenco'],Flamenco
059685.mp3,Ventanas,Ventanas Live at the Golden Festival Atrium Stage; Jan 14 2012,Gusta Mi Magla,['International'; 'Balkan'; 'Flamenco'],Flamenco
059686.mp3,Ventanas,Ventanas Live at the Golden Festival Atrium Stage; Jan 14 2012,Introductions and Chifteteli,['International'; 'Balkan'; 'Flamenco'],Flamenco
059687.mp3,Ventanas,Ventanas Live at the Golden Festival Atrium Stage; Jan 14 2012,Tangos de Granada,['International'; 'Balkan'; 'Flamenco'],Flamenco
059688.mp3,Ventanas,Ventanas Live at the Golden Festival Atrium Stage; Jan 14 2012,Frog Song,['International'; 'Balkan'; 'Flamenco'],Flamenco
086373.mp3,Bliss Blood & Al Street,Live on WFMU's Airborne Event with Dan Bodah - February 18th; 2013,Liplock,['Jazz'; 'Flamenco'],Flamenco
086374.mp3,Bliss Blood & Al Street,Live on WFMU's Airborne Event with Dan Bodah - February 18th; 2013,Entropy,['Jazz'; 'Flamenco'],Flamenco
086375.mp3,Bliss Blood & Al Street,Live on WFMU's Airborne Event with Dan Bodah - February 18th; 2013,Paradise,['Jazz'; 'Flamenco'],Flamenco
086376.mp3,Bliss Blood & Al Street,Live on WFMU's Airborne Event with Dan Bodah - February 18th; 2013,No One Gets It All,['Jazz'; 'Flamenco'],Flamenco
